,gene_group,associated_uniprot_IDs,associated_reactions,associated_pdb,associated_cath_classes,associated_cath_domains,substrates,products
249,b1449,P76113,CURR;DHCURR,,,,cur_c;nadph_c;h_c;dhcur_c,dhcur_c;thcur_c;nadp_c
250,b1870,P76290,CXSAMS,4iwn,3.40.50.150.31.1.1.2.1.225;3.40.50.150.31.1.1.2.2.229,4iwnB00;4iwnA00,pphn_c;amet_c,cxsam_c;h2o_c;phpyr_c
251,b3425,P0A6V5,CYANST,1gmx,3.40.250.10.5.1.1.1.1.107,1gmxA00,cyan_c;tsul_c,tcynt_c;h_c;so3_c
252,b2668,P55734,CYANST,,,,cyan_c;tsul_c,tcynt_c;h_c;so3_c
253,b2521,P31142,CYANST;MCPST,1urh,3.40.250.10.16.3.1.1.1.147;3.40.250.10.16.3.1.1.2.147;3.40.250.10.42.1.1.1.1.115;3.40.250.10.42.1.1.2.1.109,1urhA01;1urhB01;1urhA02;1urhB02,mercppyr_c;cyan_c;tsul_c,tcynt_c;h_c;so3_c;pyr_c
254,b0340,P00816,CYNTAH,1dw9,1.10.260.40.22.1.1.1.1.86;1.10.260.40.22.1.1.2.1.86;1.10.260.40.22.1.1.3.1.86;1.10.260.40.22.1.1.4.1.86;1.10.260.40.22.1.1.5.1.86;1.10.260.40.22.1.1.6.1.86;1.10.260.40.22.1.1.7.1.86;1.10.260.40.22.1.1.8.1.86;1.10.260.40.22.1.1.9.1.86;1.10.260.40.22.1.1.10.1.86;3.30.1160.10.1.1.1.1.1.66;3.30.1160.10.1.1.1.2.1.63;3.30.1160.10.1.1.1.3.1.63;3.30.1160.10.1.1.1.4.1.63;3.30.1160.10.1.1.1.5.1.63;3.30.1160.10.1.1.1.6.1.63;3.30.1160.10.1.1.1.7.1.63;3.30.1160.10.1.1.1.8.1.63;3.30.1160.10.1.1.1.9.1.63;3.30.1160.10.1.1.1.10.1.63,1dw9A01;1dw9B01;1dw9C01;1dw9D01;1dw9E01;1dw9F01;1dw9G01;1dw9H01;1dw9I01;1dw9J01;1dw9A02;1dw9B02;1dw9C02;1dw9D02;1dw9E02;1dw9F02;1dw9G02;1dw9H02;1dw9I02;1dw9J02,cynt_c;h_c;hco3_c,co2_c;nh4_c
255,b1919,P76316,CYSDDS,,,,h2o_c;cys__D_c,nh4_c;h2s_c;pyr_c
256,b3008,P06721,CYSDS;CYSTL,4itx,3.40.640.10.22.1.1.1.1.254;3.40.640.10.22.1.1.1.2.255;3.90.1150.10.15.1.1.1.1.137;3.90.1150.10.15.1.1.1.2.137,4itxA01;4itxB01;4itxA02;4itxB02,cyst__L_c;h2o_c;cys__L_c,hcys__L_c;nh4_c;h2s_c;pyr_c
257,b3708,P0A853,CYSDS;SERD_L;TRPAS2,2c44,3.40.640.10.42.2.1.4.1.266;3.40.640.10.42.2.1.4.2.266;3.40.640.10.42.2.1.4.3.266;3.40.640.10.42.2.1.4.4.266;3.90.1150.10.175.2.1.5.1.201;3.90.1150.10.175.2.1.5.2.201;3.90.1150.10.175.2.1.5.3.201;3.90.1150.10.175.2.1.5.4.202,2c44A02;2c44B02;2c44C02;2c44D02;2c44A01;2c44B01;2c44D01;2c44C01,cys__L_c;indole_c;h2o_c;nh4_c;trp__L_c;pyr_c;ser__L_c,h2s_c;indole_c;h2o_c;nh4_c;trp__L_c;pyr_c
258,b2421,P16703,CYSS,2v03,3.40.50.1100.2.1.1.1.1.175;3.40.50.1100.18.1.1.1.1.105,2v03A01;2v03A02,acser_c;h2s_c,ac_c;cys__L_c;h_c
259,b2414,P0ABK5,CYSS,,,,acser_c;h2s_c,ac_c;cys__L_c;h_c
260,b2810,Q46925,CYSSADS,4lw2,3.40.640.10.36.3.1.1.1.259;3.40.640.10.36.3.1.1.2.259;3.40.640.10.36.3.1.1.3.259;3.90.1150.10.48.1.1.1.1.133;3.90.1150.10.48.1.1.1.2.133;3.90.1150.10.48.1.1.1.3.133,4lw2A02;4lw2B02;4lw2C02;4lw2A01;4lw2B01;4lw2C01,h_c;3sala_c,ala__L_c;so2_c
261,b1680,P77444,CYSSADS,1jf9,3.40.640.10.36.4.1.1.1.260;3.90.1150.10.19.4.1.1.1.139,1jf9A02;1jf9A01,h_c;3sala_c,ala__L_c;so2_c
262,b1622,P23256,CYSTL,1d2f,3.40.640.10.125.1.1.1.1.243;3.40.640.10.125.1.1.1.2.243;3.90.1150.10.160.1.1.1.1.124;3.90.1150.10.160.1.1.2.1.118,1d2fA02;1d2fB02;1d2fB01;1d2fA01,cyst__L_c;h2o_c,hcys__L_c;nh4_c;pyr_c
263,b0978;b0979,P26459;P26458,CYTBD2pp;CYTBDpp,,,,mql8_c;o2_c;h_c;q8h2_c,h2o_c;q8_c;h_p;mqn8_c
264,b0733;b0734;b4515,P0ABJ9;P0ABK2;P56100,CYTBDpp,,,,o2_c;h_c;q8h2_c,h2o_c;q8_c;h_p
265,b0429;b0430;b0431;b0432,P0ABJ6;P0ABJ3;P0ABI8;P0ABJ1,CYTBO3_4pp,,,,o2_c;h_c;q8h2_c,h2o_c;q8_c;h_p
266,b2143,P0ABF6,CYTD;DCYTD,1ctt,3.40.140.10.14.1.1.1.1.151;3.40.140.10.24.1.1.1.1.115,1cttA01;1cttA02,dcyt_c;cytd_c;h_c;h2o_c,duri_c;nh4_c;uri_c
267,b2162,P33022,CYTDH;URIH,1q8f,3.90.245.10.5.1.1.1.1.308;3.90.245.10.5.1.1.1.2.308;3.90.245.10.5.1.1.1.3.308;3.90.245.10.5.1.1.1.4.308,1q8fA00;1q8fB00;1q8fC00;1q8fD00,cytd_c;h2o_c;uri_c,ura_c;rib__D_c;csn_c
268,b0651,P41409,CYTDH;URIH,1yoe,3.90.245.10.5.2.2.1.1.302,1yoeA00,cytd_c;h2o_c;uri_c,ura_c;rib__D_c;csn_c
269,b2066,P0A8F4,CYTDK1;CYTDK2;URIK1;URIK2,,,,atp_c;cytd_c;gtp_c;uri_c,cmp_c;h_c;gdp_c;ump_c;adp_c
270,b0910,P0A6I0,CYTK1;CYTK2;UMPK,1cke,3.40.50.300.17.2.1.1.1.212,1ckeA00,cmp_c;dcmp_c;atp_c;cdp_c;dcdp_c;udp_c;ump_c;adp_c,cmp_c;dcmp_c;atp_c;cdp_c;dcdp_c;udp_c;ump_c;adp_c
271,b1189,P0A6J5,DAAD,,,,fad_c;ala__D_c;h2o_c,nh4_c;fadh2_c;pyr_c
272,b4042,P0ABN1,DAGK120;DAGK140;DAGK141;DAGK160;DAGK161;DAGK180;DAGK181,3ze3,,,12dgr180_c;12dgr160_c;12dgr161_c;atp_c;12dgr140_c;12dgr181_c;12dgr141_c;12dgr120_c,pa140_c;pa161_c;pa120_c;pa141_c;h_c;pa181_c;pa180_c;adp_c;pa160_c
273,b2871,P66899,DAPAL,4d9i,3.40.50.1100.32.1.1.1.1.118;3.40.50.1100.32.1.1.2.1.118;3.40.50.1100.48.1.1.5.1.271;3.40.50.1100.48.1.1.5.2.272,4d9iA02;4d9iB02;4d9iA01;4d9iB01,h2o_c;23dappa_c,nh4_c;pyr_c
274,b2838,P00861,DAPDC,1knw,2.40.37.10.18.1.1.1.1.176;3.20.20.10.27.1.1.1.1.245,1knwA01;1knwA02,26dap__M_c;h_c,co2_c;lys__L_c
275,b3809,P0A6K1,DAPE,4ijz,3.10.310.10.5.1.2.1.1.137;3.10.310.10.5.1.2.1.2.137;3.10.310.10.9.1.2.1.1.128;3.10.310.10.9.1.2.1.2.127,4ijzA02;4ijzB02;4ijzB01;4ijzA01,26dap__M_c;26dap_LL_c,26dap__M_c;26dap_LL_c
276,b0175,P0ABG1,DASYN120;DASYN140;DASYN141;DASYN160;DASYN161;DASYN180;DASYN181,,,,pa140_c;pa161_c;pa120_c;pa141_c;h_c;pa181_c;pa180_c;ctp_c;pa160_c,cdpdhdec9eg_c;cdpdodecg_c;ppi_c;cdpdddecg_c;cdpdodec11eg_c;cdpdtdecg_c;cdpdhdecg_c;cdpdtdec7eg_c
277,b3041,P0A7J0,DB4PS,1iez,3.90.870.10.1.2.1.3.1.217,1iezA00,ru5p__D_c,for_c;h_c;db4p_c
278,b0778,P13000,DBTS,1byi,3.40.50.300.1.1.1.1.1.224,1byiA00,atp_c;co2_c;dann_c,h_c;adp_c;pi_c;dtbt_c
279,b1733,P37794,DC6PDA,,,,chtbs6p_c;h2o_c,ac_c;mchtbs6p_c
280,b2065,P28248,DCTPD,1xs1,2.70.40.10.17.1.1.2.1.193;2.70.40.10.17.1.1.2.2.193;2.70.40.10.17.1.1.2.3.193;2.70.40.10.17.1.1.2.4.193;2.70.40.10.17.1.1.2.5.193;2.70.40.10.17.1.1.2.6.193,1xs1A00;1xs1B00;1xs1C00;1xs1D00;1xs1E00;1xs1F00,dctp_c;h2o_c;h_c,dutp_c;nh4_c
281,b3693,P31459,DDGALK,,,,atp_c;2dh3dgal_c,2dh3dgal6p_c;h_c;adp_c
282,b3526,P37647,DDGLK,3lhx,3.40.1190.20.21.1.1.1.1.295;3.40.1190.20.21.1.1.2.1.290,3lhxA00;3lhxB00,2ddglcn_c;atp_c,adp_c;h_c;2ddg6p_c
283,b2601,P00888,DDPA,,,,pep_c;h2o_c;e4p_c,2dda7p_c;pi_c
284,b0754,P0AB91,DDPA,1n8f,3.20.20.70.118.2.2.1.1.343;3.20.20.70.118.2.2.1.2.343;3.20.20.70.118.2.2.1.3.343;3.20.20.70.118.2.2.1.4.343,1n8fA00;1n8fB00;1n8fC00;1n8fD00,pep_c;h2o_c;e4p_c,2dda7p_c;pi_c
285,b1704,P00887,DDPA,,,,pep_c;h2o_c;e4p_c,2dda7p_c;pi_c
286,b4477,Q6BF16,DDPGALA,2v82,3.20.20.70.197.1.1.1.1.204,2v82A00,2dh3dgal6p_c;g3p_c;pyr_c,2dh3dgal6p_c;g3p_c;pyr_c
287,b3648,P60546,DGK1;GK1,1s96,3.30.63.10.3.3.1.1.1.59;3.30.63.10.3.3.1.2.1.59;3.40.50.300.342.2.1.1.1.141;3.40.50.300.342.2.1.2.1.140,1s96A02;1s96B02;1s96A01;1s96B01,dgdp_c;atp_c;gmp_c;dgmp_c;gdp_c;adp_c,dgdp_c;atp_c;gmp_c;dgmp_c;gdp_c;adp_c
288,b1341,P77302,DGUNC,,,,gtp_c,cdigmp_c;ppi_c
289,b1794,P76245,DGUNC,,,,gtp_c,cdigmp_c;ppi_c
290,b1535,P31129,DGUNC,4h54,1.20.120.30.3.1.2.1.1.112;1.20.120.30.3.1.2.1.2.106;3.30.70.270.40.1.1.1.2.162;3.30.70.270.40.1.1.1.3.163,4h54A01;4h54B01;4h54A02;4h54B02,gtp_c,cdigmp_c;ppi_c
291,b1025,P75908,DGUNC,,,,gtp_c,cdigmp_c;ppi_c
292,b1490,P0AA89,DGUNC,,,,gtp_c,cdigmp_c;ppi_c
293,b1393,P76082,DHACOAH,4fzw,1.10.12.10.6.5.1.1.1.58;1.10.12.10.6.5.1.1.2.58;1.10.12.10.28.2.1.1.1.57;1.10.12.10.28.2.1.1.2.58;3.90.226.10.9.4.1.1.1.198;3.90.226.10.9.4.1.1.2.196;3.90.226.10.36.5.1.1.1.192;3.90.226.10.36.5.1.1.2.192,4fzwA02;4fzwB02;4fzwC02;4fzwD02;4fzwB01;4fzwA01;4fzwC01;4fzwD01,23dhacoa_c;h2o_c;3hadpcoa_c,23dhacoa_c;h2o_c;3hadpcoa_c
294,b3771,P05791,DHAD1;DHAD2,,,,23dhmp_c;23dhmb_c,3mob_c;h2o_c;3mop_c
295,b1198;b1199;b1200;b2415;b2416,P37349;P76014;P76015;P0AA04;P08839,DHAPT,,,,pep_c;dha_c,dhap_c;pyr_c
296,b0596,P15047,DHBD,2fwm,3.40.50.720.155.1.1.1.1.212,2fwmX00,nad_c;nadh_c;23ddhb_c;h_c;23dhb_c,nad_c;nadh_c;23ddhb_c;h_c;23dhb_c
297,b0594,P10378,DHBS,4iz6,1.10.1200.10.15.1.1.1.1.76;1.10.1200.10.15.1.1.1.3.74;3.30.300.30.16.3.1.1.1.106;3.30.300.30.16.3.1.1.2.108;3.40.50.12780.18.3.1.1.1.428;3.40.50.12780.18.3.1.1.2.429,4iz6B03;4iz6A03;4iz6A02;4iz6B02;4iz6B01;4iz6A01,atp_c;h_c;23dhb_c,ppi_c;23dhba_c
298,b2541,P0CI31,DHCIND;DHPPD,,,,cenchddd_c;cechddd_c;nad_c,h_c;nadh_c;dhcinnm_c;dhpppn_c
299,b0348,P0ABR9,DHCINDO;HPPPNDO,,,,o2_c;dhcinnm_c;dhpppn_c,hkndd_c;h_c;hkntd_c
300,b0031,P04036,DHDPRy,1dih,3.30.360.10.57.1.3.1.1.108;3.40.50.720.270.3.1.1.1.164,1dihA02;1dihA01,nadph_c;h_c;23dhdp_c,thdp_c;nadp_c
301,b2478,P0A6L2,DHDPS,2ojp,3.20.20.70.14.5.1.1.1.290;3.20.20.70.14.5.1.2.1.290,2ojpA00;2ojpB00,aspsa_c;pyr_c,h2o_c;h_c;23dhdp_c
302,b1606,P0AFS3,DHFR;DHMPTR,,,,nadph_c;nadp_c;dhmpt_c;thf_c;h_c;dhf_c,nadph_c;nadp_c;thmnp_c;thf_c;h_c;dhf_c
303,b0048,P0ABQ4,DHFR,4kjj,3.40.430.10.2.1.1.7.1.159,4kjjA00,nadph_c;nadp_c;thf_c;h_c;dhf_c,nadph_c;nadp_c;thf_c;h_c;dhf_c
304,b2315,P08192,DHFS,1w78,3.40.1190.10.10.1.2.1.1.281;3.90.190.20.6.1.1.1.1.132,1w78A01;1w78A02,glu__L_c;atp_c;dhpt_c,h_c;adp_c;pi_c;dhf_c
305,b3930,P32166,DHNAOT4,,,,octdp_c;h_c;dhna_c,2dmmql8_c;co2_c;ppi_c
306,b2262,P0ABU0,DHNCOAS,4i42,1.10.12.10.8.2.1.1.4.49;1.10.12.10.8.2.1.1.5.49;1.10.12.10.8.2.1.1.6.49;1.10.12.10.8.2.1.1.7.49;1.10.12.10.8.2.1.1.8.49;1.10.12.10.8.2.1.1.9.49;1.10.12.10.8.2.1.1.10.49;1.10.12.10.8.2.1.1.11.49;1.10.12.10.8.2.1.1.12.49;1.10.12.10.8.2.1.1.13.49;1.10.12.10.8.2.1.1.14.49;1.10.12.10.8.2.1.1.15.49;3.90.226.10.19.1.1.1.1.219;3.90.226.10.19.1.1.1.2.221;3.90.226.10.19.1.1.1.3.221;3.90.226.10.19.1.1.1.4.222;3.90.226.10.19.1.1.1.5.222;3.90.226.10.19.1.1.1.6.222;3.90.226.10.19.1.1.1.7.222;3.90.226.10.19.1.1.1.8.222;3.90.226.10.19.1.1.1.9.222;3.90.226.10.19.1.1.1.10.222;3.90.226.10.19.1.1.1.11.222;3.90.226.10.19.1.1.1.12.205,4i42A02;4i42B02;4i42C02;4i42D02;4i42E02;4i42F02;4i42G02;4i42H02;4i42I02;4i42J02;4i42K02;4i42L02;4i42C01;4i42B01;4i42H01;4i42A01;4i42E01;4i42F01;4i42G01;4i42I01;4i42J01;4i42K01;4i42L01;4i42D01,h_c;sbzcoa_c,14dhncoa_c;h2o_c
307,b1686,P77781,DHNCOAT,4k49,3.10.129.10.3.1.1.2.1.136;3.10.129.10.3.1.1.2.2.136;3.10.129.10.3.1.1.2.3.136;3.10.129.10.3.1.1.2.4.136,4k49A00;4k49B00;4k49C00;4k49D00,14dhncoa_c;h2o_c,coa_c;h_c;dhna_c
308,b3058,P0AC16,DHNPA2r;DHNPTE,2o90,3.30.1130.10.1.1.1.1.1.115,2o90A00,dhnpt_c;gcald_c;dhmpt_c;6hmhpt_c,dhnpt_c;gcald_c;dhmpt_c;6hmhpt_c
309,b0945,P0A7E1,DHORD2;DHORD5,1f76,3.20.20.70.204.2.1.1.1.329;3.20.20.70.204.2.1.2.1.329;3.20.20.70.204.2.1.3.1.329;3.20.20.70.204.2.1.4.1.329,1f76A00;1f76B00;1f76D00;1f76E00,mqn8_c;q8_c;dhor__S_c,mql8_c;orot_c;q8h2_c
310,b1062,P05020,DHORTS,2z26,3.20.20.140.6.1.1.1.1.334;3.20.20.140.6.1.1.2.1.343,2z26B00;2z26A00,cbasp_c;h_c;h2o_c;dhor__S_c,cbasp_c;h_c;h2o_c;dhor__S_c
311,b3177,P0AC13,DHPS2,1aj0,3.20.20.20.6.4.2.1.1.282,1aj0A00,4abz_c;6hmhptpp_c,ppi_c;dhpt_c
312,b0578,P38489,DHPTDNR;DHPTDNRN,1icr,3.40.109.10.13.1.1.1.1.216;3.40.109.10.13.1.1.1.2.216,1icrA00;1icrB00,nadph_c;dhptdn_c;h_c;nadh_c,thptdn_c;nadp_c;nad_c
313,b2303,P0AC19,DHPTPE,1b9l,3.30.1130.10.10.1.1.1.1.119;3.30.1130.10.10.1.1.1.2.119;3.30.1130.10.10.1.1.1.3.119;3.30.1130.10.10.1.1.1.4.119;3.30.1130.10.10.1.1.1.5.119;3.30.1130.10.10.1.1.1.6.119;3.30.1130.10.10.1.1.1.7.119;3.30.1130.10.10.1.1.1.8.119,1b9lA00;1b9lB00;1b9lC00;1b9lD00;1b9lE00;1b9lF00;1b9lG00;1b9lH00,dhmptp_c;ahdt_c,dhmptp_c;ahdt_c
314,b3389,P07639,DHQS,,,,2dda7p_c,pi_c;3dhq_c
315,b1693,P05194,DHQTi,,,,3dhq_c,3dhsk_c;h2o_c
316,b0421,P22939,DMATT;GRTT,1rqj,1.10.600.10.3.5.1.1.1.299;1.10.600.10.3.5.1.1.2.298,1rqjA00;1rqjB00,grdp_c;dmpp_c;ipdp_c,frdp_c;ppi_c;grdp_c
317,b0029,P62623,DMPPS;IPDPS,3szu,3.40.50.11270.1.1.1.1.3.96;3.40.50.11270.1.1.1.1.4.97;3.40.1010.20.1.1.1.2.1.100;3.40.1010.20.1.1.1.2.2.100;3.40.1010.20.2.1.1.1.3.113;3.40.1010.20.2.1.1.1.4.113,3szuA02;3szuB02;3szuA03;3szuB03;3szuA01;3szuB01,h_c;h2mb4p_c;nadh_c,h2o_c;nad_c;dmpp_c;ipdp_c
318,b2232,P17993,DMQMT;OHPHM,4kdc,3.40.50.150.76.1.2.1.1.217,4kdcA00,2omhmbl_c;2ohph_c;amet_c,h_c;ahcys_c;q8h2_c;2omph_c
319,b1587;b1588;b1589;b1590,P77374;P77783;P0AAJ1;P76173,DMSOR1;TMAOR1,,,,mql8_c;dmso_c;h_c;tmao_c,h2o_c;dms_c;tma_c;mqn8_c
320,b0894;b0895;b0896,P18775;P18776;P18777,DMSOR1;DMSOR2;TMAOR1;TMAOR2,,,,2dmmql8_c;mql8_c;tmao_c;h_c;dmso_c,tma_c;h2o_c;mqn8_c;dms_c;2dmmq8_c
321,b1872;b1873,P46923;P52005,DMSOR1pp;DMSOR2pp;TMAOR1pp;TMAOR2pp,,,,2dmmql8_c;mql8_c;h_p;tmao_p;dmso_p,dms_p;mqn8_c;h2o_p;2dmmq8_c;tma_p
322,b1865,P0AFC0,DNTPPA;NTPP5,2o1c,3.90.79.10.27.1.1.1.1.147;3.90.79.10.27.1.1.1.2.146;3.90.79.10.27.1.1.1.3.142;3.90.79.10.27.1.1.1.4.142,2o1cA00;2o1cB00;2o1cC00;2o1cD00,ahdt_c;h2o_c;datp_c,dhpmp_c;ppi_c;h_c;damp_c
323,b0099,P08337,DNTPPA;NTPP1;NTPP2,3a6s,3.90.79.10.52.1.1.1.1.125;3.90.79.10.52.1.1.1.2.121,3a6sA00;3a6sB00,dgtp_c;ahdt_c;h2o_c;gtp_c,gmp_c;dhpmp_c;ppi_c;dgmp_c;h_c
324,b3575,P37672,DOGULNR,1nxu,1.10.1530.10.6.1.1.1.1.78;1.10.1530.10.6.1.1.2.1.78;3.30.60.50.1.1.1.1.1.42;3.30.60.50.1.1.1.2.1.39;3.30.1370.60.5.1.1.1.1.152;3.30.1370.60.5.1.1.2.1.143,1nxuA01;1nxuB01;1nxuB03;1nxuA03;1nxuB02;1nxuA02,23doguln_c;h_c;nadh_c,nad_c;3dhguln_c
325,b0103,P0A6I9,DPCOAK,1n3b,3.40.50.300.24.1.1.2.1.203;3.40.50.300.24.1.1.3.1.203;3.40.50.300.24.1.1.4.1.174,1n3bB00;1n3bC00;1n3bA00,dpcoa_c;atp_c,coa_c;h_c;adp_c
326,b0425,P0A9J4,DPR,1yon,1.10.1040.10.10.2.1.1.2.123;3.40.50.720.181.1.1.1.2.167,1yonA02;1yonA01,nadph_c;h_c;2dhp_c,pant__R_c;nadp_c
327,b3774,P05793,DPR;KARA1;KARA2,3ulk,1.10.1040.10.47.1.1.1.1.281;1.10.1040.10.47.1.1.1.2.281;3.40.50.720.237.1.1.1.1.207;3.40.50.720.237.1.1.2.1.207,3ulkA02;3ulkB02;3ulkA01;3ulkB01,nadph_c;23dhmp_c;alac__S_c;nadp_c;2ahbut_c;23dhmb_c;h_c;2dhp_c,nadph_c;pant__R_c;23dhmp_c;alac__S_c;nadp_c;2ahbut_c;23dhmb_c;h_c
328,b4381,P0A6L0,DRPA,1p1x,3.20.20.70.4.1.1.1.1.251;3.20.20.70.4.1.1.1.2.250,1p1xB00;1p1xA00,2dr5p_c,g3p_c;acald_c
329,b1185;b3860,P0A6M2;P0AEG4,DSBAO1;DSBAO2,2zuq;1fvk,1.20.1550.10.1.1.1.1.1.148;1.20.1550.10.1.1.1.1.2.148;2.60.40.10.7.2.1.1.754.103;2.60.40.10.7.2.1.1.755.103;2.60.40.10.44.1.1.2.35.101;2.60.40.10.44.1.1.2.39.95;2.60.40.10.54.2.53.1.1.115;2.60.40.10.54.2.53.1.2.119;2.60.40.10.84.1.2.6.1.112;2.60.40.10.84.1.2.6.2.112;3.40.30.10.201.2.1.1.7.188;3.40.30.10.201.2.1.1.8.188,2zuqA00;2zuqD00;2zuqB02;2zuqE02;2zuqC02;2zuqF02;2zuqC01;2zuqF01;2zuqB01;2zuqE01;1fvkA00;1fvkB00,q8_c;dsbard_p;mqn8_c,dsbaox_p;mql8_c;q8h2_c
330,b2893,P0AEG6,DSBCGT,1eej,3.10.450.70.2.1.2.1.1.61;3.10.450.70.2.1.2.1.2.61;3.40.30.10.120.1.1.2.1.139;3.40.30.10.120.1.1.2.2.139,1eejA01;1eejB01;1eejA02;1eejB02,dsbcox_p;gthrd_p,gthox_p;dsbcrd_p
331,b2582;b4136,P0AGG4;P36655,DSBDR,,,,dsbdox_c;trdrd_c,dsbdrd_c;trdox_c
332,b3781;b4136,P0AA25;P36655,DSBDR,,,,dsbdox_c;trdrd_c,dsbdrd_c;trdox_c
333,b0604,P77202,DSBGGT,1v58,3.10.450.70.1.1.1.2.1.71;3.10.450.70.1.1.1.2.2.71;3.40.30.10.166.1.1.1.2.158;3.40.30.10.166.1.1.1.3.158,1v58A01;1v58B01;1v58A02;1v58B02,gthrd_p;dsbgox_p,gthox_p;dsbgrd_p
334,b4122,P14407,DTARTD;FUM,,,,fum_c;h2o_c;mal__L_c;tartr__D_c,oaa_c;fum_c;h2o_c;mal__L_c
335,b1098,P0A720,DTMPK,4tmk,3.40.50.300.4.4.1.1.1.210,4tmkA00,atp_c;dtmp_c;adp_c;dtdp_c,atp_c;dtmp_c;adp_c;dtdp_c
336,b2146;b2147,P76440;P25889,DURADx,,,,nad_c;nadh_c;ura_c;h_c;56dura_c,nad_c;nadh_c;ura_c;h_c;56dura_c
337,b1238,P23331,DURIK1;TMDK1,,,,thymd_c;atp_c;duri_c,dump_c;h_c;adp_c;dtmp_c
338,b4382,P07650,DURIPP;TMDPP,4ead,1.20.970.10.9.1.1.1.1.107;3.40.1030.10.2.1.1.1.1.229;3.90.1170.30.1.1.1.1.1.97,4eadA01;4eadA02;4eadA03,thym_c;pi_c;ura_c;thymd_c;2dr1p_c;duri_c,thym_c;pi_c;ura_c;thymd_c;2dr1p_c;duri_c
339,b4384,P0ABP8,DURIPP;PUNP1;PUNP2;PUNP3;PUNP4;PUNP5;PUNP6,1ecp,3.40.50.1580.2.1.1.1.16.237;3.40.50.1580.2.1.1.1.17.237;3.40.50.1580.2.1.1.1.18.237;3.40.50.1580.2.1.1.1.19.237;3.40.50.1580.2.1.1.1.20.237;3.40.50.1580.2.1.1.1.21.237,1ecpA00;1ecpB00;1ecpC00;1ecpD00;1ecpE00;1ecpF00,ins_c;din_c;dgsn_c;pi_c;ade_c;ura_c;adn_c;2dr1p_c;r1p_c;gua_c;hxan_c;duri_c;dad_2_c;gsn_c,ins_c;din_c;dgsn_c;pi_c;ade_c;ura_c;adn_c;2dr1p_c;r1p_c;gua_c;hxan_c;duri_c;dad_2_c;gsn_c
340,b3640,P06968,DUTPDP,1euw,2.70.40.10.1.1.1.1.1.136,1euwA00,dutp_c;h2o_c,h_c;dump_c;ppi_c
341,b2251,P52006,DUTPDP;NTPP3;NTPP7,,,,dctp_c;dutp_c;h2o_c;dttp_c,dtmp_c;dcmp_c;ppi_c;dump_c;h_c
342,b0173,P45568,DXPRIi,1q0q,1.10.1740.10.6.1.1.1.1.87;1.10.1740.10.6.1.1.1.2.87;3.40.50.720.367.1.1.1.1.150;3.40.50.720.367.1.1.1.2.150,1q0qA03;1q0qB03;1q0qA01;1q0qB01,nadph_c;h_c;dxyl5p_c,2me4p_c;nadp_c
343,b0420,P77488,DXPS,2o1s,3.40.50.920.12.1.1.1.1.120;3.40.50.920.12.1.2.1.1.120;3.40.50.920.12.1.3.1.1.120;3.40.50.920.12.1.4.1.1.119;3.40.50.970.36.1.1.1.1.227;3.40.50.970.36.1.1.2.1.228;3.40.50.970.36.1.1.3.1.184;3.40.50.970.36.1.1.4.1.178;3.40.50.970.47.1.1.1.1.171;3.40.50.970.47.1.1.2.1.171;3.40.50.970.47.1.1.3.1.171;3.40.50.970.47.1.1.4.1.171,2o1sB03;2o1sC03;2o1sD03;2o1sA03;2o1sC01;2o1sA01;2o1sB01;2o1sD01;2o1sA02;2o1sB02;2o1sC02;2o1sD02,h_c;g3p_c;pyr_c,co2_c;dxyl5p_c
344,b3564,P09099,DXYLK;XYLK,2itm,3.30.420.40.141.1.1.1.1.234;3.30.420.40.141.1.1.1.2.235;3.30.420.40.147.1.1.1.1.241;3.30.420.40.147.1.1.1.2.241,2itmB02;2itmA02;2itmA01;2itmB01,dxyl_c;atp_c;xylu__D_c,xu5p__D_c;h_c;adp_c;dxyl5p_c
345,b0269,P77596,DXYLTD,,,,h2o_c;dxylnt_c;2ddara_c,h2o_c;dxylnt_c;2ddara_c
346,b4297,P39358,DXYLTD,,,,h2o_c;dxylnt_c;2ddara_c,h2o_c;dxylnt_c;2ddara_c
347,b2927,P0A9B6,E4PD,,,,4per_c;nad_c;nadh_c;h2o_c;h_c;e4p_c,4per_c;nad_c;nadh_c;h2o_c;h_c;e4p_c
348,b1779,P0A9B2,E4PD;GAPD;NADHHR;NADHHS;NADPHHR;NADPHHS,1s7c,3.30.360.10.3.1.4.1.7.166;3.40.50.720.128.4.2.1.7.164,1s7cA02;1s7cA01,4per_c;nadph_c;nad_c;13dpg_c;pi_c;nadh_c;h2o_c;h_c;e4p_c;g3p_c,4per_c;nadhx__S_c;nadphx__R_c;nad_c;13dpg_c;pi_c;nadh_c;nadhx__R_c;h2o_c;h_c;e4p_c;g3p_c;nadphx__S_c
