,gene_group,associated_uniprot_IDs,associated_reactions,associated_pdb,associated_cath_classes,associated_cath_domains
426,b2784,P0AG20,GDPDPK;GTPDPK,5l3p,,
427,b3650,P0AG24,GDPDPK;GDPTPDP;PPGPPDP,,,
428,b2051,P32056,GDPMNH,1rya,3.90.79.10.3.1.1.1.1.160;3.90.79.10.3.1.1.1.2.160,1ryaA00;1ryaB00
429,b2467,P37128,GDPMNP,3o6z,3.90.79.10.53.1.1.2.1.181;3.90.79.10.53.1.1.2.2.188,3o6zA00;3o6zB00
430,b3729,P17169,GF6PTA,4amv,3.40.50.10490.6.2.1.2.1.214;3.40.50.10490.6.2.1.2.2.214;3.40.50.10490.6.2.1.2.3.214;3.40.50.10490.30.1.1.1.3.154;3.40.50.10490.30.1.1.1.4.154;3.40.50.10490.30.1.1.1.5.154;3.60.20.10.12.1.1.1.5.240;3.60.20.10.12.1.1.1.6.240;3.60.20.10.12.1.1.1.7.240,4amvA02;4amvB02;4amvC02;4amvA03;4amvB03;4amvC03;4amvA01;4amvB01;4amvC01
431,b1298,P76038,GGGABAH,,,
432,b1301,P37906,GGPTRCO,,,
433,b1297,P78061,GGPTRCS,,,
434,b3432,P07762,GLBRAN2,,,
435,b0459,P77791,GLCATr;MALTATr,1ocx,2.160.10.10.4.2.2.1.1.182;2.160.10.10.4.2.2.1.2.182;2.160.10.10.4.2.2.1.3.182,1ocxA00;1ocxB00;1ocxC00
436,b0124,P15877,GLCDpp,,,
437,b0837,P75804,GLCDpp,2g8s,2.120.10.30.11.1.1.1.1.341;2.120.10.30.11.1.1.2.1.342,2g8sB00;2g8sA00
438,b3428,P0AC86,GLCP;GLCP2,,,
439,b3417,P00490,GLCP;GLCP2;MLTP1;MLTP2;MLTP3,1l5w,3.40.50.2000.5.3.1.1.1.329;3.40.50.2000.5.3.1.1.2.329;3.40.50.2000.95.3.1.1.1.467;3.40.50.2000.95.3.1.1.2.467,1l5wA02;1l5wB02;1l5wA01;1l5wB01
440,b3126,P23522,GLCRAL,1dxe,3.20.20.60.1.3.1.1.1.253;3.20.20.60.1.3.1.1.2.253,1dxeA00;1dxeB00
441,b2788,Q46915,GLCRD,4il0,3.20.20.120.19.2.3.1.3.247;3.20.20.120.19.2.3.1.4.261;3.20.20.120.19.2.3.1.5.261;3.20.20.120.19.2.3.1.6.261;3.20.20.120.19.2.3.1.7.261;3.20.20.120.19.2.3.1.8.261;3.20.20.120.19.2.3.1.9.261;3.20.20.120.19.2.3.1.10.261;3.30.390.10.21.2.2.1.3.130;3.30.390.10.21.2.2.1.4.133;3.30.390.10.21.2.2.1.5.127;3.30.390.10.21.2.2.1.6.148;3.30.390.10.21.2.2.1.7.149;3.30.390.10.21.2.2.1.8.149;3.30.390.10.21.2.2.1.9.149;3.30.390.10.21.2.2.1.10.149,4il0H02;4il0A02;4il0B02;4il0C02;4il0D02;4il0E02;4il0F02;4il0G02;4il0E01;4il0D01;4il0G01;4il0F01;4il0A01;4il0B01;4il0C01;4il0H01
442,b2787,P0AES2,GLCRD,1ec7,3.20.20.120.19.1.4.1.1.261;3.20.20.120.19.1.4.1.2.261;3.20.20.120.19.1.4.1.3.261;3.20.20.120.19.1.4.1.4.261;3.30.390.10.21.4.1.1.1.136;3.30.390.10.21.4.1.1.2.137;3.30.390.10.21.4.1.1.3.138;3.30.390.10.21.4.1.1.4.148,1ec7A02;1ec7B02;1ec7C02;1ec7D02;1ec7C01;1ec7A01;1ec7D01;1ec7B01
443,b3429,P0A6U8,GLCS1,2qzs,3.40.50.2000.13.1.1.1.1.267;3.40.50.2000.54.1.1.1.1.210,2qzsA01;2qzsA02
444,b3631,P25740,GLCTR1,2iw1,3.40.50.2000.24.1.1.1.1.186;3.40.50.2000.26.1.1.1.1.184,2iw1A02;2iw1A01
445,b3627,P27128,GLCTR2,,,
446,b3626,P27129,GLCTR3,,,
447,b3431,P15067,GLDBRAN2,2wsk,2.60.40.10.641.1.1.1.1.130;2.60.40.1180.74.1.1.1.1.85;3.20.20.80.194.1.1.1.1.439,2wskA01;2wskA03;2wskA02
448,b3430,P0A6V1,GLGC,5l6v,2.160.10.10.30.2.1.1.1.131;2.160.10.10.30.2.1.1.2.131;2.160.10.10.30.2.1.1.3.131;2.160.10.10.30.2.1.1.4.130;2.160.10.10.30.2.1.1.5.130;2.160.10.10.30.2.1.1.6.130;2.160.10.10.30.2.1.1.7.130;2.160.10.10.30.2.1.1.8.129;2.160.10.10.30.2.1.1.9.129;3.90.550.10.23.3.1.1.1.270;3.90.550.10.23.3.1.1.2.280;3.90.550.10.23.3.1.1.3.280;3.90.550.10.23.3.1.1.4.284;3.90.550.10.23.3.1.1.5.287;3.90.550.10.23.3.1.1.6.291;3.90.550.10.23.3.1.1.7.292;3.90.550.10.23.3.1.1.8.292;3.90.550.10.23.3.1.1.9.293,5l6vE02;5l6vF02;5l6vM02;5l6vA02;5l6vC02;5l6vI02;5l6vP02;5l6vB02;5l6vH02;5l6vI01;5l6vE01;5l6vF01;5l6vM01;5l6vH01;5l6vC01;5l6vA01;5l6vB01;5l6vP01
449,b3870,P0A9C5,GLNS,,,
450,b2091,P0A9S3,GLTPD,4uej,3.40.50.720.382.1.1.1.1.138;3.40.50.720.382.1.1.1.2.138;3.90.180.10.7.1.1.1.1.208;3.90.180.10.7.1.1.1.2.208,4uejA02;4uejB02;4uejA01;4uejB01
451,b0242,P0A7B5,GLU5K,2j5v,2.30.130.10.15.1.1.1.1.94;2.30.130.10.15.1.1.1.2.94;3.40.1160.10.10.2.1.1.1.231;3.40.1160.10.10.2.1.1.2.229,2j5vA02;2j5vB02;2j5vB01;2j5vA01
452,b2688,P0A6W9,GLUCYS,1va6,3.30.590.20.2.1.1.1.1.432;3.30.590.20.2.1.1.1.2.436,1va6B02;1va6A02
453,b3517,P69908,GLUDC,1xey,3.40.640.10.119.1.1.1.13.294;3.40.640.10.119.1.1.1.14.294;3.90.1150.160.1.1.1.1.19.93;3.90.1150.160.1.1.1.1.20.92,1xeyA02;1xeyB02;1xeyB03;1xeyA03
454,b1493,P69910,GLUDC,2dgm,3.40.640.10.119.1.1.1.1.294;3.40.640.10.119.1.1.1.2.294;3.40.640.10.119.1.1.1.3.294;3.40.640.10.119.1.1.1.4.294;3.40.640.10.119.1.1.1.5.294;3.40.640.10.119.1.1.1.6.294;3.90.1150.160.1.1.1.1.1.97;3.90.1150.160.1.1.1.1.2.97;3.90.1150.160.1.1.1.1.3.97;3.90.1150.160.1.1.1.1.10.95;3.90.1150.160.1.1.1.1.11.94;3.90.1150.160.1.1.1.1.12.93,2dgmA02;2dgmB02;2dgmC02;2dgmD02;2dgmE02;2dgmF02;2dgmC03;2dgmD03;2dgmF03;2dgmA03;2dgmB03;2dgmE03
455,b1761,P00370,GLUDy,4bht,1.10.285.10.1.2.1.1.13.73;1.10.285.10.1.2.1.1.14.73;1.10.285.10.1.2.1.1.15.73;1.10.285.10.1.2.1.1.16.73;1.10.285.10.1.2.1.1.17.73;1.10.285.10.1.2.1.1.18.73;3.40.50.720.260.2.1.2.1.165;3.40.50.720.260.2.1.2.2.165;3.40.50.720.260.2.1.2.3.165;3.40.50.720.260.2.1.2.4.165;3.40.50.720.260.2.1.2.5.165;3.40.50.720.260.2.1.2.6.162;3.40.50.10860.8.1.2.2.1.136;3.40.50.10860.8.1.2.2.2.136;3.40.50.10860.8.1.2.2.3.136;3.40.50.10860.8.1.2.2.4.136;3.40.50.10860.8.1.2.2.5.136;3.40.50.10860.8.1.2.2.6.136,4bhtA01;4bhtB01;4bhtC01;4bhtD01;4bhtE01;4bhtF01;4bhtA03;4bhtB03;4bhtC03;4bhtE03;4bhtF03;4bhtD03;4bhtA02;4bhtB02;4bhtC02;4bhtD02;4bhtE02;4bhtF02
456,b3212;b3213,P09831;P09832,GLUDy;GLUSy,,,
457,b0485,P77454,GLUN,1u60,3.40.710.10.15.1.1.1.1.309;3.40.710.10.15.1.1.1.2.309;3.40.710.10.15.1.1.1.3.309;3.40.710.10.15.1.1.1.4.309,1u60A00;1u60B00;1u60C00;1u60D00
458,b1524,P0A6W0,GLUN,,,
459,b2312,P0AG16,GLUPRT,1ecf,3.40.50.2020.33.1.1.1.1.137;3.40.50.2020.33.1.1.1.2.137;3.60.20.10.35.1.1.1.1.321;3.60.20.10.35.1.1.1.2.321,1ecfA02;1ecfB02;1ecfA01;1ecfB01
460,b3967,P22634,GLUR,,,
461,b1210,P0A6X1,GLUTRR,,,
462,b2400,P04805,GLUTRS,,,
463,b0507,P0AEP7,GLXCL,2pan,3.40.50.970.34.3.1.1.1.163;3.40.50.970.34.3.1.2.1.163;3.40.50.970.34.3.1.3.1.163;3.40.50.970.34.3.1.4.1.163;3.40.50.970.34.3.1.5.1.163;3.40.50.970.34.3.1.6.1.163;3.40.50.970.43.1.1.1.1.218;3.40.50.970.43.1.1.2.1.218;3.40.50.970.43.1.1.3.1.218;3.40.50.970.43.1.1.4.1.218;3.40.50.970.43.1.1.5.1.218;3.40.50.970.43.1.1.6.1.218;3.40.50.1220.28.1.1.1.1.161;3.40.50.1220.28.1.1.2.1.161;3.40.50.1220.28.1.1.3.1.161;3.40.50.1220.28.1.1.4.1.161;3.40.50.1220.28.1.1.5.1.161;3.40.50.1220.28.1.1.6.1.161,2panA01;2panB01;2panC01;2panD01;2panE01;2panF01;2panA03;2panB03;2panC03;2panD03;2panE03;2panF03;2panA02;2panB02;2panC02;2panD02;2panE02;2panF02
464,b3617,P0AB77,GLYAT,1fc4,3.40.640.10.95.1.1.1.1.230;3.40.640.10.95.1.1.2.1.230;3.90.1150.10.80.1.1.1.1.133;3.90.1150.10.80.1.1.2.1.122,1fc4A01;1fc4B01;1fc4A02;1fc4B02
465,b0514,P77364,GLYCK,,,
466,b3124,P23524,GLYCK2,,,
467,b0116;b2903;b2904;b2905,P0A9P0;P33195;P0A6T9;P27248,GLYCL,,,
468,b1033,P75913,GLYCLTDx;GLYCLTDy;HPYRRx;HPYRRy,,,
469,b2979;b4467;b4468,P0AEP9;P52074;P52073,GLYCTO2;GLYCTO3;GLYCTO4,,,
470,b3926,P0A6F3,GLYK,1bu6,3.30.420.40.115.3.2.1.9.246;3.30.420.40.115.3.2.1.10.247;3.30.420.40.115.3.2.1.11.247;3.30.420.40.115.3.2.1.12.247;3.30.420.40.143.2.1.3.1.251;3.30.420.40.143.2.1.3.2.251;3.30.420.40.143.2.1.3.3.251;3.30.420.40.143.2.1.3.4.252,1bu6O02;1bu6X02;1bu6Y02;1bu6Z02;1bu6O01;1bu6X01;1bu6Z01;1bu6Y01
471,b0212,P0AC84,GLYOX,,,
472,b1967,P31658,GLYOX3,1n57,3.40.50.880.50.1.1.1.1.272,1n57A00
473,b2053,P0AC88,GMAND,1db3,3.40.50.720.188.1.3.1.1.219;3.90.25.10.2.3.1.1.1.116,1db3A01;1db3A02
474,b3052,P76658,GMHEPAT;GMHEPK,,,
475,b0200,P63228,GMHEPPA,2gmw,3.40.50.1000.54.1.1.1.1.182;3.40.50.1000.54.1.1.1.2.184,2gmwA00;2gmwB00
476,b0104,P60560,GMPR,,,
477,b2507,P04079,GMPS;GMPS2,1gpm,3.30.300.10.3.2.1.1.1.108;3.30.300.10.3.2.1.1.2.108;3.30.300.10.3.2.1.1.3.108;3.30.300.10.3.2.1.1.4.108;3.40.50.620.13.3.1.1.1.172;3.40.50.620.13.3.1.1.2.172;3.40.50.620.13.3.1.1.3.170;3.40.50.620.13.3.1.1.4.170;3.40.50.880.32.1.1.1.1.198;3.40.50.880.32.1.1.1.2.198;3.40.50.880.32.1.1.1.3.198;3.40.50.880.32.1.1.1.4.198,1gpmA03;1gpmB03;1gpmC03;1gpmD03;1gpmA02;1gpmC02;1gpmB02;1gpmD02;1gpmA01;1gpmB01;1gpmC01;1gpmD01
478,b2029,P00350,GND,2zyd,1.10.1040.10.44.2.1.1.1.254;1.10.1040.10.44.2.1.1.2.254;1.20.5.320.1.1.1.1.3.33;1.20.5.320.1.1.1.1.4.32;3.40.50.720.34.2.1.1.1.179;3.40.50.720.34.2.1.1.4.178,2zydA02;2zydB02;2zydB03;2zydA03;2zydB01;2zydA01
479,b3437,P46859,GNK,1knq,3.40.50.300.126.2.1.1.1.171;3.40.50.300.126.2.1.1.2.171,1knqA00;1knqB00
480,b4268,P39208,GNK,,,
481,b3715,P31467,GNP,,,
482,b3449,P10908,GPDDA1;GPDDA2;GPDDA3;GPDDA4;GPDDA5,,,
483,b2239,P09394,GPDDA1pp;GPDDA2pp;GPDDA3pp;GPDDA4pp;GPDDA5pp,1t8q,3.20.20.190.15.1.1.2.1.318;3.20.20.190.15.1.1.3.1.319;3.20.20.190.15.1.1.4.1.319;3.20.20.190.15.1.1.5.1.320,1t8qD00;1t8qA00;1t8qC00;1t8qB00
484,b1064,P0AC59,GRXR,4kx4,1.20.1050.10.4.1.2.1.1.126;3.40.30.10.173.1.2.1.1.78,4kx4A02;4kx4A01
485,b3610,P0AC62,GRXR,1fov,3.40.30.10.95.3.1.1.1.82,1fovA00
486,b1654,P0AC69,GRXR,2wci,3.40.30.10.133.2.1.1.1.108;3.40.30.10.133.2.1.1.2.106,2wciA01;2wciB01
487,b0849,P68688,GRXR,1ego,3.40.30.10.310.2.1.1.1.85,1egoA00
488,b0477,P0AEW6,GSNK;INSK,,,
489,b2988,P0AES0,GSPMDA;GSPMDS,2io9,3.90.1720.10.8.1.1.1.5.183;3.90.1720.10.8.1.1.1.6.185,2io9A01;2io9B01
490,b3500,P06715,GTHOr,1ges,3.30.390.30.1.1.2.1.1.113;3.30.390.30.1.1.2.1.2.113;3.50.50.60.3.2.1.1.1.218;3.50.50.60.3.2.1.1.2.217;3.50.50.60.74.2.1.1.1.118;3.50.50.60.74.2.1.1.2.118,1gesA03;1gesB03;1gesB01;1gesA01;1gesA02;1gesB02
491,b1710,P06610,GTHPi;THIORDXi,,,
492,b3447,P18956,GTHRDHpp,2e0w,,
493,b2947,P04425,GTHS,1gsa,3.30.470.20.35.1.1.1.1.121;3.30.1490.20.19.1.1.1.1.65;3.40.50.20.32.1.1.1.1.128,1gsaA02;1gsaA03;1gsaA01
494,b2153,P0A6T5,GTPCI,1a8r,1.10.286.10.1.1.2.1.1.85;1.10.286.10.1.1.2.1.2.85;1.10.286.10.1.1.2.1.3.85;1.10.286.10.1.1.2.1.4.85;1.10.286.10.1.1.2.1.5.85;1.10.286.10.1.1.2.1.6.85;1.10.286.10.1.1.2.1.7.85;1.10.286.10.1.1.2.1.8.85;1.10.286.10.1.1.2.1.9.85;1.10.286.10.1.1.2.1.10.85;1.10.286.10.1.1.2.1.11.85;1.10.286.10.1.1.2.1.12.85;1.10.286.10.1.1.2.1.13.85;1.10.286.10.1.1.2.1.14.85;1.10.286.10.1.1.2.1.15.85;3.30.1130.10.8.1.1.2.1.136;3.30.1130.10.8.1.1.2.2.136;3.30.1130.10.8.1.1.2.3.136;3.30.1130.10.8.1.1.2.4.136;3.30.1130.10.8.1.1.2.5.136;3.30.1130.10.8.1.1.2.6.136;3.30.1130.10.8.1.1.2.7.136;3.30.1130.10.8.1.1.2.8.136;3.30.1130.10.8.1.1.2.9.136;3.30.1130.10.8.1.1.2.10.136;3.30.1130.10.8.1.1.2.11.136;3.30.1130.10.8.1.1.2.12.136;3.30.1130.10.8.1.1.2.13.136;3.30.1130.10.8.1.1.2.14.136;3.30.1130.10.8.1.1.2.15.136,1a8rA01;1a8rB01;1a8rC01;1a8rD01;1a8rE01;1a8rF01;1a8rG01;1a8rH01;1a8rI01;1a8rJ01;1a8rK01;1a8rL01;1a8rM01;1a8rN01;1a8rO01;1a8rA02;1a8rB02;1a8rC02;1a8rD02;1a8rE02;1a8rF02;1a8rG02;1a8rH02;1a8rI02;1a8rJ02;1a8rK02;1a8rL02;1a8rM02;1a8rN02;1a8rO02
495,b1277,P0A7I7,GTPCII2,,,
496,b3779,P25552,GTPDPDP,,,
497,b2883,P76641,GUAD,,,
498,b0125,P0A9M2,GUAPRT;HXPRT,1g9s,3.40.50.2020.4.6.3.2.1.169;3.40.50.2020.4.6.3.2.2.169,1g9sA00;1g9sB00
499,b0238,P0A9M5,GUAPRT;HXPRT;XPPT,1nul,3.40.50.2020.24.1.1.1.1.142;3.40.50.2020.24.1.1.1.6.136,1nulA00;1nulB00
500,b3092,P0A8G3,GUI1;GUI2,,,
501,b1395,P76083,HADPCOADH3,3mog,1.10.1040.50.4.1.1.1.1.190;1.10.1040.50.4.1.1.1.2.189;1.10.1040.50.4.1.1.1.3.189;3.30.750.190.1.1.1.1.1.94;3.30.750.190.1.1.1.1.2.94;3.30.750.190.1.1.1.1.3.94;3.40.50.720.20.4.1.1.1.188;3.40.50.720.20.4.1.1.2.187;3.40.50.720.20.4.1.1.3.187,3mogC02;3mogA02;3mogB02;3mogA03;3mogB03;3mogC03;3mogC01;3mogA01;3mogB01
502,b4040,P0AGK1,HBZOPT,,,
503,b0126,P61517,HCO3E,1i6p,3.40.1050.10.4.1.3.1.1.214,1i6pA00
504,b0339,P0ABE9,HCO3E,,,
505,b0261,Q47690,HCYSMT;HCYSMT2,5dmm,3.20.20.330.2.1.1.1.1.288,5dmmA00
506,b0428,P0AEA5,HEMEOS,,,
507,b3630,P25741,HEPK1,,,
508,b3625,P27240,HEPK2,,,
509,b3621,P24173,HEPT1,2h1h,3.40.50.2000.78.1.1.1.4.163;3.40.50.2000.78.1.1.1.5.163;3.40.50.2000.80.1.1.1.3.159;3.40.50.2000.80.1.1.1.5.152,2h1hA01;2h1hB01;2h1hA02;2h1hB02
510,b3620,P37692,HEPT2,1psw,3.40.50.2000.76.1.1.1.1.174;3.40.50.2000.94.1.1.1.1.134,1pswA02;1pswA01
511,b3632,P25742,HEPT3,,,
512,b3623,P27242,HEPT4,,,
513,b2104,P76423,HETZK,,,
514,b2388,P0A6V8,HEX1,,,
515,b0394,P23917,HEX7,,,
516,b2020,P06988,HISTD,1kae,3.40.50.1980.38.1.1.1.1.155;3.40.50.1980.38.1.1.2.1.155;3.40.50.1980.88.1.1.1.1.190;3.40.50.1980.88.1.1.2.1.190,1kaeA01;1kaeB01;1kaeA02;1kaeB02
517,b2022,P06987,HISTP;IGPDH,,,
518,b0349,P77044,HKNDDH;HKNTDH,1u2e,3.40.50.1820.55.3.1.1.1.286;3.40.50.1820.55.3.1.1.2.286;3.40.50.1820.55.3.1.1.3.286;3.40.50.1820.55.3.1.1.4.285,1u2eA00;1u2eB00;1u2eC00;1u2eD00
519,b3805,P06983,HMBS,1gtk,3.30.160.40.1.2.1.1.1.86;3.40.190.10.78.3.1.1.2.101;3.40.190.10.182.3.1.1.1.100,1gtkA03;1gtkA01;1gtkA02
520,b2103,P76422,HMPK1;PMPK,,,
521,b2418,P40191,HMPK1;PYDAMK;PYDXK;PYDXNK,2ddm,3.40.1190.20.47.1.1.1.1.271;3.40.1190.20.47.1.1.1.2.264,2ddmB00;2ddmA00
522,b0352,P51020,HOPNTAL,,,
523,b1396,P76084,HPACOAT;PACOAT,1psu,3.10.129.10.56.1.1.3.1.132;3.10.129.10.56.1.1.4.1.126,1psuB00;1psuA00
524,b0142,P26281,HPPK2,5etp,3.30.70.560.1.1.1.1.3.160,5etpA00
525,b0508,P30147,HPYRI,,,
526,b1813,P43337,HPYRP,,,
527,b4013,P07623,HSST,,,
528,b2021,P06986,HSTPT,1fg7,3.40.640.10.76.1.1.1.1.203;3.90.1150.10.24.1.1.1.1.128,1fg7A01;1fg7A02
529,b2866;b2867;b2868,Q46799;Q46800;Q46801,HXAND;XAND,,,
530,b0972;b0973;b0974,P69739;P0ACD8;P0AAM1,HYD1pp;HYD2pp;HYD3pp,,,
531,b2994;b2995;b2996;b2997,P0ACE0;P37180;P0AAJ8;P69741,HYD1pp;HYD2pp;HYD3pp,,,
532,b2719;b2720;b2721;b2722;b2723;b2724,P16433;P16432;P16431;P16430;P16429;P0AAK1,HYD1pp,,,
533,b2529;b2530,P0ACD4;P0A6B7,I2FE2SR;I2FE2SS;I2FE2SS2,1p3w;2kqk,3.40.640.10.15.2.1.1.3.247;3.40.640.10.15.2.1.1.4.247;3.90.1150.10.42.2.1.1.2.121;3.90.1150.10.42.2.1.1.3.121;3.90.1010.10.7.1.2.1.1.102,1p3wA02;1p3wB02;1p3wA01;1p3wB01;2kqkA01
534,b2528;b2529,P0AAC8;P0ACD4,I2FE2ST;I4FE4ST,1s98;2kqk,2.60.300.12.1.1.1.2.1.97;2.60.300.12.1.1.1.2.2.97;3.90.1010.10.7.1.2.1.1.102,1s98A00;1s98B00;2kqkA01
535,b2529,P0ACD4,I4FE4SR,2kqk,3.90.1010.10.7.1.2.1.1.102,2kqkA01
536,b1136,P08200,ICDHyr,1pb1,3.40.718.10.6.1.3.1.1.416,1pb1A00
537,b0593,P0AEJ2,ICHORS_copy1,3hwo,3.60.120.10.6.1.1.1.4.379;3.60.120.10.6.1.1.1.5.378,3hwoA00;3hwoB00
538,b2265,P38051,ICHORS_copy2,3bzm,3.60.120.10.3.1.1.1.1.429,3bzmA00
539,b0595,P0ADI4,ICHORT,2fq1,1.10.1200.10.15.1.1.1.2.72;1.10.1200.10.15.1.1.1.4.71;3.40.50.850.2.3.1.1.1.203;3.40.50.850.2.3.1.1.2.204,2fq1A02;2fq1B02;2fq1A01;2fq1B01
540,b4015,P0A9G6,ICL,1igw,3.20.20.60.25.1.2.1.1.396;3.20.20.60.25.1.2.1.2.405;3.20.20.60.25.1.2.1.3.411;3.20.20.60.25.1.2.1.4.416,1igwA00;1igwD00;1igwB00;1igwC00
541,b2530,P0A6B7,ICYSDS,1p3w,3.40.640.10.15.2.1.1.3.247;3.40.640.10.15.2.1.1.4.247;3.90.1150.10.42.2.1.1.2.121;3.90.1150.10.42.2.1.1.3.121,1p3wA02;1p3wB02;1p3wA01;1p3wB01
542,b4267,P39346,IDOND;IDOND2,,,
543,b2023;b2025,P60595;P60664,IG3PS,,,
544,b1262,P00909,IGPS;PRAIi,1pii,3.20.20.70.102.1.1.1.1.261;3.20.20.70.198.1.1.1.1.191,1piiA01;1piiA02
545,b3770,P0AB80,ILETA;LEUTAi;PHETA1;TYRTA;VALTA,1iye,3.20.10.10.1.3.1.1.1.160;3.20.10.10.1.3.1.1.2.160;3.20.10.10.1.3.1.1.3.160;3.30.470.10.2.2.1.1.1.134;3.30.470.10.2.2.1.1.2.134;3.30.470.10.2.2.1.1.3.134,1iyeA02;1iyeB02;1iyeC02;1iyeA01;1iyeB01;1iyeC01
546,b2508,P0ADG7,IMPD,,,
547,b3488,P37627,INOSTO,,,
548,b2889,Q46822,IPDDI,1hzt,3.90.79.10.6.1.1.1.1.153,1hztA00
549,b0073,P30125,IPMD,1cm7,3.40.718.10.1.1.5.1.1.363;3.40.718.10.1.1.5.1.2.363,1cm7A00;1cm7B00
550,b1800,P76251,IPMD;MALDDH,,,
551,b0071;b0072,P30126;P0A6A6,IPPMIa;IPPMIb,,,
552,b0074,P09151,IPPS,,,
553,b1091,P0A6R0,KAS15;OGMEACPS,1hnj,3.40.47.10.13.1.1.1.1.171;3.40.47.10.34.1.1.1.1.146,1hnjA01;1hnjA02
554,b0918,P04951,KDOCT2,3k8d,3.90.550.10.7.1.3.1.1.246;3.90.550.10.7.1.3.1.2.246;3.90.550.10.7.1.3.1.3.246;3.90.550.10.7.1.3.1.4.246,3k8dA00;3k8dB00;3k8dC00;3k8dD00
555,b3198,P0ABZ4,KDOPP,3hyc,3.40.50.1000.21.1.1.1.61.174;3.40.50.1000.21.1.1.1.62.176;3.40.50.1000.21.1.1.1.63.181;3.40.50.1000.21.1.1.1.64.181;3.40.50.1000.21.1.1.1.65.181;3.40.50.1000.21.1.1.1.66.181;3.40.50.1000.21.1.1.1.67.181;3.40.50.1000.21.1.1.1.68.181,3hycB00;3hycD00;3hycA00;3hycC00;3hycE00;3hycF00;3hycG00;3hycH00
556,b1215,P0A715,KDOPS,1g7v,3.20.20.70.29.2.5.1.3.284,1g7vA00
557,b2843,Q46938,KDUI,1xru,2.60.120.10.33.1.1.1.1.148;2.60.120.10.33.1.2.1.1.148;2.60.120.520.1.1.1.1.1.122;2.60.120.520.1.1.1.2.1.122,1xruA02;1xruB02;1xruA01;1xruB01
558,b4196,P39304,KG6PDC,1q6o,3.20.20.70.56.1.1.1.1.215;3.20.20.70.56.1.1.1.2.213,1q6oB00;1q6oA00
559,b3581,P37678,KG6PDC,,,
560,b2257,P76473,LA4NTpp,,,
561,b0344,P00722,LACZ,3j7h,2.60.40.10.52.1.1.1.213.106;2.60.40.10.52.1.1.1.214.106;2.60.40.10.52.1.1.1.215.106;2.60.40.10.52.1.1.1.216.106;2.60.40.10.117.1.1.5.205.115;2.60.40.10.117.1.1.5.206.115;2.60.40.10.117.1.1.5.207.115;2.60.40.10.117.1.1.5.208.115;2.60.120.260.59.1.1.2.17.217;2.60.120.260.59.1.1.2.18.217;2.60.120.260.59.1.1.2.19.217;2.60.120.260.59.1.1.2.20.217;2.70.98.10.2.1.1.1.161.293;2.70.98.10.2.1.1.1.162.293;2.70.98.10.2.1.1.1.163.293;2.70.98.10.2.1.1.1.164.293;3.20.20.80.115.1.1.1.105.291;3.20.20.80.115.1.1.1.106.291;3.20.20.80.115.1.1.1.107.291;3.20.20.80.115.1.1.1.108.291,3j7hA04;3j7hB04;3j7hC04;3j7hD04;3j7hA02;3j7hB02;3j7hC02;3j7hD02;3j7hA01;3j7hB01;3j7hC01;3j7hD01;3j7hA05;3j7hB05;3j7hC05;3j7hD05;3j7hA03;3j7hB03;3j7hC03;3j7hD03
562,b2132,P33363,LACZpp,,,
563,b1326,P0ACV6,LADGMDH,,,
564,b2799,P0A9S1,LCARS,5br4,1.20.1090.10.1.1.1.1.1.199;1.20.1090.10.1.1.1.1.2.199;3.40.50.1970.1.1.1.1.1.185;3.40.50.1970.1.1.1.1.2.186,5br4A02;5br4B02;5br4B01;5br4A01
565,b0325,P75691,LCARSyi;PPDOy,1uuf,3.40.50.720.45.2.1.1.1.149;3.90.180.10.2.3.1.1.1.191,1uufA02;1uufA01
566,b1380,P52643,LDH_D,,,
567,b2133,P06149,LDH_D2,1f0x,3.30.43.10.21.1.1.1.1.144;3.30.43.10.21.1.1.1.2.145;3.30.70.610.1.1.1.1.1.100;3.30.70.610.1.1.1.1.2.100;3.30.465.10.24.1.1.1.1.163;3.30.465.10.24.1.1.1.2.163;3.30.1370.20.1.1.1.1.1.85;3.30.1370.20.1.1.1.1.2.85,1f0xB02;1f0xA02;1f0xA01;1f0xB01;1f0xA03;1f0xB03;1f0xA04;1f0xB04
568,b1651,P0AC81,LGTHL,1f9z,3.10.180.10.15.1.1.1.1.128;3.10.180.10.15.1.1.1.2.128,1f9zA00;1f9zB00
569,b0622,P37001,LIPAHT2ex;LIPAHTex,,,
570,b4386,P32099,LIPAMPL;LIPATPT;OCTNLL,4tvy,3.30.390.50.9.1.1.1.2.88;3.30.390.50.9.1.1.1.3.88;3.30.930.10.18.1.1.2.1.241;3.30.930.10.18.1.1.2.2.233,4tvyA02;4tvyB02;4tvyA01;4tvyB01
571,b0630,P60720,LIPOCT,,,
572,b0628,P60716,LIPOS,,,
573,b2245,P76469,LKDRA,2vws,3.20.20.60.1.1.1.1.1.256;3.20.20.60.1.1.1.1.2.256;3.20.20.60.1.1.1.1.3.256,2vwsA00;2vwsB00;2vwsC00
574,b0182,P10441,LPADSS,,,
